smart_187_raw,smart_197_raw,smart_198_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_7_raw,smart_9_raw
-0.02318687,-0.021970276,-0.021970276,-0.97228426,-0.163859105,-0.695061064,-0.007948649,-0.955658586
-0.02318687,-0.021970276,-0.021970276,-0.883448524,0.216842687,-0.43398534,-0.007918956,-0.907132694
-0.02318687,-0.021970276,-0.021970276,1.540458206,-0.78476842,1.593910162,-0.008262111,1.511738702
-0.02318687,-0.021970276,-0.021970276,-0.379256987,1.128322675,-0.768394571,-0.008241224,-0.38132097
-0.02318687,-0.021970276,-0.021970276,0.434884939,-1.171563415,1.075322111,-0.008267971,0.449117885
-0.02318687,-0.021970276,-0.021970276,0.086643284,1.711034818,-0.575812191,-0.008192438,0.058436338
-0.02318687,-0.021970276,-0.021970276,0.630518496,-1.224000779,0.937909289,-0.008278468,0.677863169
-0.02318687,-0.021970276,-0.021970276,-0.976322248,-0.143986989,-0.385070154,-0.007948681,-0.958957797
-0.02318687,-0.021970276,-0.021970276,0.644442592,-0.971198564,0.371658327,-0.008243972,0.611329084
-0.02318687,-0.021970276,-0.021970276,-0.421447,1.061501824,-0.62823155,-0.00826017,-0.442768771
-0.02318687,-0.021970276,-0.021970276,0.08901038,1.581763583,-0.686117147,-0.008213011,0.070533444
-0.02318687,-0.021970276,-0.021970276,-0.888321957,0.200205532,-0.652390621,-0.007916071,-0.908919766
-0.02318687,-0.021970276,-0.021970276,-0.975765284,-0.194442464,-0.670496676,-0.00795562,-0.958957797
-0.02318687,-0.021970276,-0.021970276,1.533356917,-0.807593215,1.272296985,-0.008253786,1.511876169
-0.02318687,-0.021970276,-0.021970276,1.410128662,-0.836345476,1.424012939,-0.008298471,1.412899845
-0.02318687,-0.021970276,-0.021970276,0.371669541,-1.236903371,1.345899674,-0.008287929,0.348217021
-0.02318687,-0.021970276,-0.021970276,-0.468092723,1.013009726,-0.440304623,-0.008229369,-0.493494138
-0.02318687,-0.021970276,-0.021970276,-0.542865122,0.681925253,-0.664636441,-0.008291599,-0.570888125
-0.02318687,-0.00290481,-0.00290481,1.533217676,-0.838477655,1.757182399,-0.008279274,1.515862715
-0.02318687,-0.021970276,-0.021970276,1.466938976,-0.83553735,1.214509124,-0.008302268,1.443692479
-0.02318687,-0.021970276,-0.021970276,0.663657845,-0.98681499,1.468842321,-0.008177403,0.676076096
-0.02318687,-0.021970276,-0.021970276,-0.607333689,0.534423676,-0.305160112,-0.00830704,-0.635910071
-0.02318687,-0.021970276,-0.021970276,-0.51529541,-1.530948496,1.191160108,-0.007953069,-0.429709395
-0.02318687,-0.021970276,-0.021970276,-0.573498134,0.491634596,-0.460382835,-0.008267747,-0.588621383
-0.02318687,-0.021970276,-0.021970276,-0.79781533,0.390355102,-0.644820223,-0.00828194,-0.823002818
-0.02318687,-0.021970276,-0.021970276,-0.976879211,-0.139536813,-0.751489971,-0.007914986,-0.958957797
-0.02318687,-0.021970276,-0.021970276,-0.107458622,0.605649449,-0.724114907,-0.008328699,-0.064321798
-0.02318687,-0.021970276,-0.021970276,-0.324256806,1.29775743,-0.752828107,-0.00822551,-0.347229125
-0.02318687,-0.021970276,-0.021970276,-0.471434506,0.965958573,-0.52535349,-0.008252764,-0.496655881
